SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.926796752,53,0,399.0,,3,0,0,1,
0,0.393864359,41,0,3039.0,,8,0,2,0,0.0
0,0.140967452,53,0,1295.0,,6,0,1,0,0.0
1,1.324594257,30,0,58.0,,2,2,0,1,0.0
1,1.020932916,57,4,826.0,,9,1,0,0,0.0
0,0.532360492,42,0,2724.0,,3,0,1,0,0.0
0,0.156456236,37,1,1136.0,,3,0,2,0,2.0
0,0.328233588,55,0,3223.0,,8,0,2,0,0.0
0,0.032298385,62,0,26.0,,4,0,0,0,0.0
0,0.069573597,84,0,463.0,,8,0,0,0,1.0
0,0.165591168,31,0,95.0,,4,0,0,1,0.0
0,0.000964683,85,0,1.0,,4,0,0,0,0.0
0,0.909590177,49,0,1435.0,,10,0,0,0,0.0
0,0.0,51,0,0.0,,2,0,0,0,0.0
0,0.007161678,82,0,3.0,,7,0,0,0,0.0
0,0.0,27,0,520.0,,3,0,0,0,0.0
0,0.96151737,56,0,2531.0,,7,0,0,0,1.0
0,0.0,54,0,2817.0,,16,0,2,1,0.0
0,0.314037079,45,0,1731.0,,11,0,1,0,0.0
0,0.0,61,0,3047.0,,15,0,1,0,0.0
0,0.0,60,0,1798.0,,5,0,1,0,0.0
0,0.0,52,0,0.0,,2,0,0,0,
1,1.00632683,66,2,3206.0,,8,0,1,1,0.0
0,0.314303048,39,0,1859.0,,13,0,0,0,0.0
0,0.0,58,0,0.0,,2,0,0,0,1.0
0,0.494111257,53,0,1843.0,,17,0,1,0,1.0
0,0.252233036,60,1,56.0,,1,0,0,0,0.0
0,0.029496502,45,0,2758.0,,8,0,2,0,0.0
0,0.032805971,50,0,3221.0,,11,0,1,0,0.0
0,0.684300487,45,2,1009.0,,9,2,0,3,2.0
0,0.01379931,58,0,8.0,,2,0,0,0,0.0
0,0.172260735,35,0,2038.0,,5,0,1,0,0.0
0,0.160450559,33,0,745.0,,8,0,0,0,0.0
0,0.160964623,49,0,652.0,,3,0,0,0,0.0
0,0.9999999,26,0,0.0,,1,0,0,0,
0,0.019788081,66,0,653.0,,13,0,0,0,
0,0.009337383,62,0,6524.0,,10,0,3,0,0.0
0,0.679813777,41,1,2075.0,,6,0,1,0,0.0
0,0.002437348,76,1,1.0,,3,0,0,0,
0,0.562578317,57,1,834.0,,7,0,0,0,0.0
0,0.171981688,28,0,329.0,,14,0,0,0,0.0
0,0.9999999,56,1,0.0,,1,0,0,0,0.0
0,0.0006528,87,0,0.0,,2,0,0,0,0.0
0,0.9999999,63,0,0.0,,0,0,0,0,0.0
0,0.046047698,69,0,2549.0,,3,0,2,0,0.0
0,0.9999999,30,0,1942.0,,4,0,1,0,1.0
0,798.0,62,0,1100.0,,4,0,1,0,0.0
0,0.709184918,55,0,2982.0,,10,0,2,0,0.0
0,0.103344833,58,0,62.0,,2,0,0,0,0.0
0,0.0,59,0,3067.0,,5,0,2,1,0.0
0,0.667666167,31,0,42.0,,1,0,0,1,1.0
0,0.728819779,57,0,2387.0,,5,0,2,0,0.0
0,0.031254904,65,0,1267.0,,9,0,1,0,0.0
0,0.147985201,38,0,1034.0,,4,0,1,0,0.0
0,0.161919767,71,0,475.0,,4,0,1,0,0.0
0,0.165055663,66,0,90.0,,4,0,0,0,0.0
0,0.899074523,47,4,9214.0,,15,0,4,0,1.0
1,0.006419954,47,2,4.0,,3,6,0,0,
0,0.072837087,83,0,59.0,,1,0,0,0,
0,0.093176008,73,0,81.0,,9,0,0,0,0.0
0,0.098939609,40,0,111.0,,7,0,0,0,0.0
0,0.311751975,64,0,2304.0,,12,0,2,0,0.0
0,0.410654828,63,0,428.0,,4,2,1,0,0.0
0,0.0,49,0,46.0,,5,0,0,0,0.0
0,0.9999999,43,0,2984.0,,8,0,2,0,0.0
1,0.0,28,1,3825.0,,8,0,4,0,0.0
0,0.051862019,54,2,2458.0,,13,1,1,0,1.0
0,0.0,80,0,9.0,,6,0,0,0,0.0
0,0.880950514,47,0,882.0,,6,0,1,0,0.0
0,0.9999999,23,0,4.0,,1,0,0,0,0.0
0,0.0,62,1,893.0,,8,0,0,0,0.0
0,0.023861797,50,1,707.0,,17,0,0,0,0.0
0,0.036083723,31,0,1948.0,,12,0,1,0,0.0
1,1.014375453,61,1,4761.0,,11,0,2,0,2.0
0,0.092709871,56,0,2344.0,,6,0,2,0,
0,0.0,75,0,0.0,,1,0,0,0,
0,0.006646508,68,0,546.0,,8,0,0,0,0.0
0,0.195400383,33,0,1106.0,,10,0,0,0,2.0
0,0.042478974,81,0,497.0,,7,0,0,0,0.0
0,0.000855298,64,2,2521.0,,21,0,2,0,0.0
0,0.063433535,31,0,1197.0,,3,0,1,0,0.0
0,0.033534517,83,0,34.0,,6,0,0,0,0.0
0,0.091243463,52,0,3347.0,,8,0,2,0,0.0
0,0.456210449,31,1,1130.0,,8,0,0,0,1.0
0,0.01845986,43,0,39.0,,6,0,0,0,0.0
0,0.9999999,33,0,1725.0,,5,0,1,0,0.0
0,0.662225183,57,0,520.0,,9,0,0,0,0.0
0,0.08338928,67,1,290.0,,6,0,0,0,0.0
0,0.026044548,75,0,37.0,,11,0,0,0,0.0
0,0.091206594,63,0,2151.0,,4,0,1,0,0.0
0,0.289731892,38,1,2229.0,,11,0,2,0,0.0
0,0.038685082,80,0,18.0,,13,0,0,0,0.0
0,0.074096295,38,1,1622.0,,12,0,2,0,0.0
0,0.147181451,54,0,2467.0,,10,0,2,0,0.0
0,0.034905002,56,0,1854.0,,9,0,1,0,0.0
0,0.685021574,46,0,3685.0,,8,0,1,0,2.0
0,0.3060996,56,0,2873.0,,10,0,2,0,0.0
0,0.032082903,46,1,908.0,,10,0,0,0,0.0
0,0.900616891,63,2,3231.0,,11,0,2,2,0.0
1,0.9999999,28,0,157.0,,1,5,0,0,0.0
0,0.005162671,72,1,3055.0,,7,0,2,0,0.0
0,0.00155159,50,0,779.0,,5,0,2,0,0.0
0,0.148462124,57,2,3465.0,,11,0,2,0,2.0
0,0.00979804,35,0,2034.0,,5,0,1,0,0.0
0,0.033652096,43,0,1052.0,,13,0,1,0,0.0
0,0.915694768,48,0,7636.0,,3,0,2,0,2.0
0,0.620903668,42,0,1146.0,,14,0,0,0,3.0
0,0.075784843,46,0,11.0,,1,0,0,0,
0,0.092090791,49,0,29.0,,2,0,0,0,0.0
0,0.0,67,0,2868.0,,5,0,2,0,0.0
0,0.041594454,59,0,2032.0,,3,0,1,0,0.0
0,0.103769423,58,0,1665.0,,4,0,1,0,0.0
0,0.016384592,67,0,76.0,,3,0,0,0,
0,0.07979601,59,0,47.0,,1,0,0,0,0.0
0,0.041082649,43,0,3140.0,,10,0,2,0,0.0
0,0.9999999,46,1,65.0,,1,0,0,0,0.0
0,0.060674036,62,0,2627.0,,11,0,1,0,0.0
0,0.489125906,52,2,619.0,,6,2,0,1,5.0
0,0.713821008,36,0,5201.0,,12,0,2,0,2.0
0,0.019405952,75,0,571.0,,9,0,0,0,0.0
0,0.015967748,84,0,225.0,,3,0,0,0,0.0
0,0.094527112,70,0,2104.0,,10,0,2,0,0.0
0,0.013173627,60,0,1239.0,,6,0,1,0,0.0
0,0.042015282,42,0,62.0,,5,0,0,0,0.0
0,0.012555079,61,0,861.0,,7,0,1,0,
0,0.061018453,76,0,157.0,,6,0,0,0,0.0
0,0.066565498,66,0,328.0,,17,0,0,0,
0,0.093456908,55,0,4843.0,,4,0,2,0,
0,0.017585117,64,0,1115.0,,11,0,1,0,0.0
0,0.009306009,34,0,3206.0,,10,0,3,0,0.0
0,0.065066741,85,0,1170.0,,3,0,1,0,0.0
0,0.163184389,69,1,2277.0,,10,0,2,0,0.0
0,0.063815281,64,0,1432.0,,5,0,1,0,1.0
0,0.038357064,62,0,4142.0,,8,0,4,0,0.0
0,0.065592734,54,0,1370.0,,8,0,0,0,1.0
0,0.036600096,38,0,1959.0,,4,0,1,0,
0,0.023912244,67,0,489.0,,6,0,0,0,0.0
0,0.53368742,44,0,1141.0,,4,0,0,0,2.0
0,0.17290167,42,0,2846.0,,9,0,2,0,0.0
1,0.9999999,52,0,933.0,,3,1,1,1,
1,0.9999999,28,0,104.0,,2,1,0,0,0.0
0,0.011618814,64,0,1254.0,,7,0,1,0,0.0
0,0.005384486,71,0,725.0,,5,0,1,0,0.0
0,0.0,82,0,1143.0,,5,0,2,0,0.0
0,0.0,93,0,8.0,,2,0,0,0,
0,0.54833804,58,3,1455.0,,9,0,0,0,0.0
0,0.0,59,0,149.0,,1,0,0,0,
0,0.0,50,0,2180.0,,12,0,1,0,3.0
0,0.0,43,0,4320.0,,14,0,3,0,2.0
0,0.065199367,43,0,2180.0,,10,0,1,0,0.0
0,0.05531812,66,0,42.0,,6,0,0,0,
0,0.002113168,46,0,1932.0,,4,0,1,0,0.0
0,0.009266049,64,0,4.0,,2,0,0,0,0.0
0,0.044858763,51,0,2243.0,,12,0,1,0,0.0
0,0.005317065,68,0,784.0,,7,0,1,0,0.0
0,0.241357637,70,0,2507.0,,5,0,2,0,0.0
0,0.170827837,72,0,1349.0,,8,0,2,1,
0,0.437093818,50,0,1663.0,,8,0,0,0,0.0
1,0.948627915,38,1,3010.0,,10,0,0,0,0.0
1,0.013617333,45,0,2589.0,,6,0,1,0,0.0
0,0.003999867,70,0,3.0,,4,0,0,0,0.0
0,0.038270988,49,0,2487.0,,5,0,2,0,0.0
0,0.9999999,29,0,252.0,,2,0,0,0,0.0
0,0.036915737,44,0,489.0,,8,0,0,0,0.0
0,0.037056644,69,0,1638.0,,10,0,3,0,0.0
0,0.108589172,60,3,3192.0,,25,0,3,0,
0,0.225677432,71,1,5008.0,,6,0,4,0,
0,0.063095629,65,0,705.0,,4,0,1,0,0.0
0,0.91996482,60,2,2534.0,,11,0,2,0,0.0
0,0.161303996,53,0,125.0,,4,0,0,0,0.0
0,0.143293116,60,0,2916.0,,14,0,2,0,0.0
0,0.21426731,29,2,1510.0,,12,0,0,0,0.0
0,0.381358483,51,1,1705.0,,6,0,1,0,2.0
0,0.02120221,67,0,16.0,,6,0,0,0,0.0
0,0.0,79,0,8.0,,4,1,0,0,0.0
1,0.686354379,27,0,805.0,,2,0,0,0,1.0
0,0.001439358,62,0,6173.0,,8,0,3,0,
1,0.9999999,32,0,0.0,,0,1,0,0,0.0
0,0.162766477,47,0,2872.0,,10,0,2,0,0.0
0,0.001899686,74,0,5.0,,5,0,0,0,0.0
0,0.008559658,61,0,3407.0,,8,0,1,0,0.0
0,0.0,54,0,881.0,,4,0,1,0,0.0
0,0.0,74,0,0.0,,6,0,0,0,0.0
0,0.0,61,0,2507.0,,7,0,2,0,0.0
0,0.720619394,60,0,3636.0,,6,0,2,0,0.0
0,0.0,58,0,33448.0,,28,0,4,0,0.0
0,0.071878125,61,0,227.0,,10,0,0,0,0.0
0,0.9999999,29,0,2.0,,0,0,0,0,0.0
0,0.9999999,31,0,0.0,,0,0,0,0,0.0
0,0.084358524,67,0,1017.0,,3,0,1,0,0.0
0,0.795253796,62,2,1880.0,,14,1,0,0,0.0
0,0.204992116,62,0,165.0,,4,0,0,0,0.0
0,0.005642116,64,0,274.0,,8,0,0,0,0.0
0,0.228118751,27,0,575.0,,3,0,0,0,0.0
0,0.371856891,56,0,2270.0,,11,0,2,0,0.0
0,0.99550075,49,0,3070.0,,6,0,1,0,
0,0.196715192,60,0,2504.0,,12,0,1,0,
1,0.998613037,45,0,797.0,,4,0,0,0,0.0
0,0.054476709,50,0,2615.0,,7,0,1,0,2.0
0,0.040401735,66,0,1710.0,,8,0,1,0,2.0
0,0.032318396,48,0,1673.0,,8,0,1,0,0.0
0,0.109592694,44,0,2207.0,,5,0,2,0,2.0
0,0.087916513,60,0,114.0,,2,0,0,0,0.0
0,0.9999999,40,2,1646.0,,3,0,1,0,2.0
0,0.005839766,46,0,31.0,,2,0,0,0,0.0
0,0.061523501,81,0,32.0,,10,0,0,0,0.0
0,0.054350483,51,0,3434.0,,12,0,2,0,
0,0.198072902,64,0,110.0,,6,0,0,0,0.0
0,0.375700499,48,0,1949.0,,8,0,1,0,
0,0.032389762,68,0,1431.0,,8,0,1,0,0.0
0,0.021445494,54,0,1924.0,,5,0,2,0,0.0
0,0.11730369,94,0,69.0,,2,0,0,0,
0,0.154355706,87,0,49.0,,4,0,0,0,0.0
1,0.866295018,45,2,2623.0,,9,2,1,0,0.0
0,0.161206015,69,0,1486.0,,5,0,1,0,0.0
0,0.009363922,61,0,646.0,,5,0,1,0,0.0
0,0.038835182,51,0,47.0,,5,0,0,0,0.0
0,0.0,64,0,0.0,,3,0,0,0,
0,0.028911105,63,0,811.0,,10,0,0,0,0.0
0,0.243338821,40,0,480.0,,4,0,0,0,0.0
0,0.091829446,56,0,1542.0,,12,0,1,0,0.0
0,0.166708811,59,0,217.0,,8,0,0,0,0.0
0,0.110417282,51,0,2078.0,,6,0,1,0,0.0
0,0.201918647,71,1,1004.0,,13,0,2,0,
0,0.341673983,62,1,2297.0,,18,0,1,0,
0,0.202174961,53,0,1788.0,,7,0,1,0,2.0
0,0.040792751,91,0,149.0,,8,0,0,0,
0,0.018162199,65,0,1900.0,,8,0,1,0,
0,0.2483978,59,0,1925.0,,4,0,1,0,0.0
1,0.877790834,62,0,902.0,,5,3,1,1,0.0
0,0.0,66,0,4326.0,,5,0,2,0,0.0
0,0.051294261,71,0,3202.0,,15,0,1,0,0.0
0,0.005280825,57,0,5706.0,,11,0,3,0,0.0
0,0.051216531,41,0,13.0,,3,0,0,1,3.0
0,0.225546794,53,0,8013.0,,14,0,4,0,2.0
0,0.014261126,65,0,5.0,,7,0,0,0,0.0
0,0.116719393,72,0,1402.0,,19,0,1,0,0.0
0,0.123476916,42,0,2271.0,,9,0,1,0,0.0
0,0.9999999,73,0,61.0,,2,0,0,0,
0,0.058329256,50,0,3207.0,,9,0,1,0,
0,0.159684032,36,0,177.0,,5,0,0,0,0.0
0,0.002690709,57,0,4.0,,8,0,0,0,0.0
0,0.282423085,79,0,725.0,,5,0,1,0,0.0
0,0.0,53,0,968.0,,11,0,2,0,0.0
0,0.142157088,59,0,2929.0,,10,0,1,0,0.0
0,0.9999999,23,0,0.0,,0,0,0,0,
0,0.007414453,69,0,1664.0,,7,0,1,0,0.0
0,0.01573409,74,0,1530.0,,11,0,1,0,1.0
0,0.027327201,71,0,648.0,,16,0,1,0,0.0
0,0.172884617,59,0,2311.0,,18,0,0,0,1.0
0,0.283707735,32,0,1853.0,,6,0,3,0,0.0
0,0.9999999,41,0,4.0,,1,0,0,0,0.0
0,0.030612592,40,0,3491.0,,16,0,2,0,4.0
0,0.061839346,42,0,2593.0,,10,0,2,0,3.0
0,0.000853624,66,0,1303.0,,6,0,1,0,0.0
0,0.05924717,64,0,1571.0,,12,0,1,0,0.0
0,0.147878047,49,0,4919.0,,19,0,1,0,4.0
0,0.006694992,69,0,4.0,,4,0,0,0,0.0
0,0.128623407,56,0,3372.0,,15,0,2,0,0.0
0,0.135328267,65,0,1368.0,,9,0,1,0,0.0
0,0.00089991,42,0,161.0,,2,0,0,0,0.0
0,0.011108454,50,0,2097.0,,5,0,2,0,0.0
0,0.100296952,52,0,1426.0,,9,0,1,0,3.0
0,0.153719674,39,0,1229.0,,6,0,1,0,1.0
0,0.454909018,39,0,807.0,,4,0,0,0,0.0
0,0.074051195,68,0,1911.0,,5,0,1,0,
0,0.144658078,44,0,1983.0,,6,0,1,0,0.0
0,0.51969605,59,1,4174.0,,11,0,1,0,0.0
0,0.129327185,74,0,1107.0,,8,0,1,0,
0,0.0,49,0,353.0,,2,0,0,0,0.0
0,0.972805439,59,1,336.0,,2,0,0,0,0.0
0,0.639261682,48,0,2713.0,,9,0,2,0,1.0
0,0.060834151,56,0,2848.0,,4,0,1,0,
0,0.011679285,72,0,349.0,,6,0,0,0,1.0
0,0.0,76,0,693.0,,5,0,1,0,0.0
0,0.19911387,70,0,1018.0,,15,0,0,0,0.0
0,0.192645262,61,0,51.0,,7,0,0,0,0.0
0,0.0,65,0,886.0,,7,0,2,0,0.0
0,0.024573597,77,0,20.0,,3,0,0,0,0.0
0,0.542401029,51,1,2315.0,,6,0,1,0,0.0
0,0.9999999,38,0,1440.0,,4,0,0,0,1.0
0,0.707567155,81,0,1440.0,,6,0,3,0,
0,0.048718701,72,0,58.0,,6,0,0,0,0.0
0,0.005084175,78,0,25.0,,24,0,0,0,0.0
0,0.479906326,65,0,2028.0,,7,0,1,0,0.0
0,0.211710358,58,0,2743.0,,13,0,3,0,0.0
0,0.111144443,72,0,2869.0,,7,0,3,0,0.0
0,0.035990043,51,0,1253.0,,7,0,1,0,0.0
0,0.0,73,0,1065.0,,9,0,3,0,0.0
0,0.001529322,76,0,3.0,,8,0,0,0,0.0
0,0.9999999,41,0,30.0,,1,1,0,0,0.0
0,0.100977244,61,0,1887.0,,19,0,0,0,2.0
0,0.004206533,58,0,1589.0,,16,0,1,0,0.0
0,0.106801847,54,0,92.0,,6,0,0,0,0.0
0,0.520271854,53,0,3317.0,,5,0,2,0,0.0
0,0.227971843,55,1,6069.0,,18,0,2,0,1.0
0,0.857855362,58,1,195.0,,4,3,0,0,
0,0.031612953,74,0,87.0,,6,0,0,0,0.0
0,0.000359986,61,0,0.0,,2,0,0,0,
0,0.100902774,33,0,2057.0,,11,0,1,0,0.0
0,0.9999999,65,0,2499.0,,3,0,1,0,0.0
0,0.940039973,49,1,365.0,,2,0,0,0,0.0
0,0.0,61,0,1045.0,,6,0,1,0,0.0
0,0.028021865,54,0,48.0,,4,0,0,0,
0,0.008332778,84,0,3.0,,5,0,0,0,0.0
0,0.9999999,52,0,592.0,,1,0,0,0,0.0
0,0.057588641,52,0,4025.0,,10,0,1,0,0.0
0,0.030367883,54,0,3520.0,,7,0,4,0,0.0
0,0.042795885,52,0,1896.0,,12,0,1,0,0.0
0,0.0,74,0,2855.0,,9,0,2,0,0.0
0,0.297824049,60,0,791.0,,7,0,2,0,0.0
0,0.9999999,34,0,2971.0,,4,0,2,0,0.0
0,0.026349841,47,0,65.0,,1,0,0,0,0.0
0,0.142857143,36,1,1545.0,,5,0,1,0,2.0
0,0.003576854,86,0,4.0,,5,0,0,0,0.0
1,0.000699977,62,0,966.0,,4,0,1,0,0.0
0,0.845890262,75,0,7670.0,,16,0,2,0,0.0
0,0.9999999,56,0,3221.0,,3,0,1,0,0.0
0,0.131044884,35,0,718.0,,9,0,0,0,0.0
0,0.0,33,0,580.0,,2,0,0,0,0.0
0,0.041764092,78,0,1438.0,,8,0,1,0,0.0
0,0.000276159,63,0,1654.0,,13,0,1,0,0.0
0,0.016320786,77,0,43.0,,5,0,0,0,0.0
0,0.028594281,64,1,4.0,,1,0,0,0,0.0
0,0.03558837,76,0,765.0,,6,0,1,0,0.0
0,0.024829594,85,0,54.0,,8,0,0,0,0.0
0,0.00179988,64,1,0.0,,3,0,0,0,
0,0.904433588,67,0,1158.0,,11,0,1,0,0.0
0,0.0,44,0,374.0,,7,0,0,0,2.0
0,0.044699255,57,0,80.0,,3,0,0,0,0.0
0,0.805889965,59,0,3501.0,,15,1,1,0,0.0
0,0.006837071,64,0,724.0,,14,0,1,0,0.0
0,0.367420206,51,0,3098.0,,9,0,1,0,5.0
1,0.90438247,43,0,511.0,,3,0,0,3,0.0
0,0.091717813,64,0,739.0,,4,0,0,0,0.0
0,0.0,80,0,1584.0,,2,0,1,0,
1,0.647576388,53,1,3957.0,,13,1,2,0,0.0
0,0.491111095,55,1,4864.0,,22,0,1,0,0.0
0,0.060023499,58,0,1860.0,,4,0,2,0,0.0
0,0.155475902,42,0,1406.0,,9,0,1,0,0.0
